,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
168,barack obama is the president,"[barack, obama, presid]",0.0,0.0,the united states should withdraw troops from afghanistan,"[unit, state, withdraw, troop, afghanistan]",0.0,0.0
169,barack obama is anti christian,"[barack, obama, anti, christian]",0.0,0.0,the united states is multicultural because,"[unit, state, multicultur]",0.0,0.0
170,barack obama is the fourth beast,"[barack, obama, fourth, beast]",0.0,0.0,the united states is a republic,"[unit, state, republ]",0.0,0.0
171,barack obama is from,"[barack, obama]",0.0,0.0,the united states is an example of what type of government,"[unit, state, exampl, type, govern]",0.0,0.0
172,barack obama is the beast,"[barack, obama, beast]",0.0,0.0,the united states is an example of which governmental system,"[unit, state, exampl, government, system]",0.0,0.0
173,barack obama is from kenya,"[barack, obama, kenya]",0.0,0.0,the united states is a constitutional,"[unit, state, constitut]",0.0,0.0
174,obama should the political winds,"[obama, polit, wind]",0.0,0.0,the united states is a,"[unit, state]",0.0,0.0
175,obama should be put in jail,"[obama, put, jail]",0.0,0.0,the united states is a corporation,"[unit, state, corpor]",0.0,0.0
176,obama should stay in office,"[obama, stay, offic]",0.0,0.0,the united states is a major producer of what element,"[unit, state, major, produc, element]",0.0,0.0
177,obama should lead or resign,"[obama, lead, resign]",0.0,0.333333333333,the united states is multicultural because quizlet,"[unit, state, multicultur, quizlet]",0.0,0.0
178,obama should be sent to prison,"[obama, sent, prison]",0.0,0.0,the united states is an example of what type of economy,"[unit, state, exampl, type, economi]",0.0,0.0
179,obama should appoint himself to supreme court,"[obama, appoint, suprem, court]",0.25,0.0,,[],0.0,0.0
180,obama should not nominate,"[obama, nomin]",0.0,0.0,,[],0.0,0.0
181,obama should run for a third term,"[obama, run, third, term]",0.0,0.0,,[],0.0,0.0
182,obama should not be in office,"[obama, offic]",0.0,0.0,,[],0.0,0.0
183,obama should be serving me coffee,"[obama, serv, coffe]",0.0,0.0,,[],0.0,0.0
184,obama should have been aborted,"[obama, abort]",0.0,0.0,,[],0.0,0.0
185,obama should the winds,"[obama, wind]",0.0,0.0,,[],0.0,0.0
